keys;en;fr
ALZHEIMER2_DIALOG_START_LINE_0_PATIENT;"Hello, doctor.";"Bonjour, docteur."
ALZHEIMER2_DIALOG_START_LINE_1_PATIENT;"You see, I am using a digiphone right now, but I own another one - an old model.";"Vous voyez, j'utilise un digiphone actuellement, mais j'en ai un autre, un vieux modèle."
ALZHEIMER2_DIALOG_START_LINE_2_DOCTOR;"...";"..."
ALZHEIMER2_DIALOG_START_LINE_3_PATIENT;"It truly is important to me. It is full of precious memory: pictures of my family, of a college trip on Mars...";"Il est vraiment important pour moi. Il est plein de précieux souvenirs: des photos d'amis, d'un voyage d'étude sur Mars..."
ALZHEIMER2_DIALOG_START_LINE_4_DOCTOR;"......";"......"
ALZHEIMER2_DIALOG_START_LINE_5_PATIENT;"But I cannot remember where I put it.";"Mais je n'arrive pas à me souvenir où est-ce que je l'ai mis."
ALZHEIMER2_DIALOG_START_LINE_6_DOCTOR;"(.........something is off, she doesn't seem to remember our first voicecall.)";"(... quelque chose ne va pas, elle a l'air de ne plus se souvenir de notre discussion précédente.)"
ALZHEIMER2_DIALOG_START_LINE_7_DOCTOR;"(Should I try fixing her memory again? Or do nothing, and send her to a neuroclinic?)";"(Est-ce que j'essaye de réparer ses souvenirs encore, ou je la renvoie vers une neuroclinique ?)"
ALZHEIMER2_DIALOG_GOOD_LINE_0_PATIENT;"...you should feel better.";"...vous devriez vous sentir mieux."
ALZHEIMER2_DIALOG_GOOD_LINE_1_PATIENT;"I do, but what about my digiphone?";"Tout à fait, mais mon digiphone ?"
ALZHEIMER2_DIALOG_GOOD_LINE_2_DOCTOR;"I am sorry, I could not locate it. Maybe you lost it without noticing.";"Je suis désolé, je n'ai pas pu le localiser, peut-être que vous n'aviez pas vaiment conscience de ce que vous faisiez la dernière fois que vous y avez touché."
ALZHEIMER2_DIALOG_GOOD_LINE_3_PATIENT;"Oh? That can't be...";"Oh? Ce n'est pas possible..."
ALZHEIMER2_DIALOG_GOOD_LINE_4_PATIENT;"...I guess it can't be helped. Have a nice day, doctor.";"...J'imagine que je n'y peux rien. Je vous souhaite une bonne journée docteur."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_0_DOCTOR;"Your memory was damaged. Again. It could be many things, but... I think it is a brain condition.";"Votre mémoire a été endommagée. A nouveau. Il peut y avoir de nombreuses causes, mais... Je pense qu'il peut y avoir un problème neurologique."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_1_PATIENT;"What? No... I mean, I have always been light-headed.";"Quoi ? Nno... J'ai toujours été un peu tête-en-l'air."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_2_DOCTOR;"I'm afraid not. Light-headedness does not cause this kind of memory damage.";"J'ai bien peur que non. Être un peu étourdi ne cause pas de corruption de mémoire."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_3_PATIENT;"Betelgeuse, that must be a joke!";"Betelgeuse, mais c'est une blague !"
ALZHEIMER2_DIALOG_NOCHANGE_LINE_4_DOCTOR;"Sorry, I am serious.";"Vous m'en voyez désolé mais je suis tout à fait sérieux."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_5_PATIENT;"Can't you do something? Replace the... bad memories by healthy ones?";"est-ce que vous pouvez y faire quelque chose ? Remplacer les souvenirs abîmés par des souvenirs en bon état ?"
ALZHEIMER2_DIALOG_NOCHANGE_LINE_6_DOCTOR;"This is beyond the skills of a memory fixer. Actually, you should go to a neuroclinic.";"Votre problème n'est aps dans mes compétences. Sincèrement, vous devriez aller à une neuroclinique."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_7_PATIENT;"...";"..."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_8_DOCTOR;"I can transfer your call to the clinic, if you want?";"Je peux vous transférer à une une clinique qui s'occupera de vous si vous le souhaitez ?"
ALZHEIMER2_DIALOG_NOCHANGE_LINE_9_PATIENT;"...yeah. That'd be nice. Thank you, doctor.";"...oui. Cela m'aidera. Merci, docteur."
ALZHEIMER2_DIALOG_NOCHANGE_LINE_10_DOCTOR;"Anything to help. Take care.";"Je fais ce que je peux pour vous aider. Prenez soin de vous."
