keys;en;fr
PICNIC1_DIALOG_START_LINE_0_PATIENT;"Hi, doc. I've...";"Bonjour docteur. Je..."
PICNIC1_DIALOG_START_LINE_1_PATIENT;"I've seen things I want to forget.";"J'ai vu des choses que je veux oublier."
PICNIC1_DIALOG_START_LINE_2_DOCTOR;"Did something happen?";"Est-ce qu'il vous est arrivé quelque chose ?"
PICNIC1_DIALOG_START_LINE_3_PATIENT;"You could say that. Until yesterday, I worked as a moderator on Hornbill. You know, the social feed.";"On peut dire ça. Jusqu'à hier, je travaillais comme modérateur sur Calao. Vous savez, le réseau social." 
PICNIC1_DIALOG_START_LINE_4_DOCTOR;"...";"..."
PICNIC1_DIALOG_START_LINE_5_PATIENT;"...";"..."
PICNIC1_DIALOG_START_LINE_6_PATIENT;"Let's say some people post crazy stuff.";"Disons que certaines personnes postent des atrocités."
PICNIC1_DIALOG_START_LINE_7_DOCTOR;"I see.";"Je vois."
PICNIC1_DIALOG_START_LINE_8_DOCTOR;"No you don't. At some point I *had* to quit my job. Betelgeuse, I even quit going on the Quantic Net!";"Non, vous n'imaginez pas ce que j'ai vu. Je ne pouvais plus me confronter à ça. Il fallait partir. Betelgeuse, j'ai du même arrêter le QuantiNet !"
PICNIC1_DIALOG_START_LINE_9_PATIENT;"Say no more...";"Ok, je n'ai pas besoin de plus..."
PICNIC1_DIALOG_START_LINE_10_DOCTOR;"Erasure of the whole period, or just the trauma ?";"J'efface la période oomplète ou juste ce qui vous a traumatisé ?"
PICNIC1_DIALOG_START_LINE_11_PATIENT;"Isn't the whole thing better ?";"Est-ce que tout effacer ne serait pas mieux ?"
PICNIC1_DIALOG_START_LINE_12_DOCTOR;"Depends. It's more expensive and changes you more.";"Ça dépend. C'est plus cher et votre identité aura un plus grand décalage."
PICNIC1_DIALOG_START_LINE_13_PATIENT;"Please, do what is best, doc. I just... I need to repair myself.";"Faites ce que vous pensez le mieux, docteur. Je veux juste, ne plus souffrir de tout ça."
PICNIC1_DIALOG_ERASEDTRAUMA_LINE_0_DOCTOR;"I...";"Je..."
PICNIC1_DIALOG_ERASEDTRAUMA_LINE_1_DOCTOR;"...feel like I could sleep the whole day.";"...pourrais m'endormir jusqu'à demain soir."
PICNIC1_DIALOG_ERASEDTRAUMA_LINE_2_DOCTOR;"I still remember the infinite non-sensical bots...";"Je me souviens encore du flux infini et absurdes des messages de bots..."
PICNIC1_DIALOG_ERASEDTRAUMA_LINE_3_DOCTOR;"But I feel lighter. Thank you, doc.";"Mais je me sens nettemetn plus léger. Merci, docteur."
PICNIC1_DIALOG_JOBERASED_LINE_0_PATIENT;"I...";"Je..."
PICNIC1_DIALOG_JOBERASED_LINE_1_PATIENT;"I don't remember why I'm here, but I guess that means you did your job well.";"Je ne me souviens plus de pourquoi je suis là, mais j'imagine que ça veut dire que vous avez bien fait votre travail."
PICNIC1_DIALOG_JOBERASED_LINE_2_PATIENT;"I feel exhausted, but I'll rest tomorrow.";"Je me sens fatigué, mais je me reposerais demain."
PICNIC1_DIALOG_JOBERASED_LINE_3_PATIENT;"I need to find a job.";"Je dois trouver un travail"
PICNIC1_DIALOG_JOBERASED_LINE_4_PATIENT;"...need... job.";"...trouver... travail."
PICNIC1_DIALOG_GOODENDING_LINE_0_PATIENT;"I...";"Je..."
PICNIC1_DIALOG_GOODENDING_LINE_1_PATIENT;"...feel like I could sleep the whole day.";"...pourrais dormir jusqu'à demain soir."
PICNIC1_DIALOG_GOODENDING_LINE_2_PATIENT;"But I feel lighter. And I know what I want to do.";"Mais je me sens nettement mieux. Et je crois que j'ai envie de changer de voie."
PICNIC1_DIALOG_GOODENDING_LINE_3_PATIENT;"Thank you, doc!";"Merci, docteur!"
